trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.0871608514619813}",30,10,15.755493274271046,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08543495096732123}",20,0,7.093189804228556,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.08374322559219596}",30,0,-6.1561957169537855,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,10,-15.184934816042498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.08045960674953244}",25,0,14.92811115177072,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.07886639979067495}",25,16,15.14789681124124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07730474044329974}",20,14,12.03541903272791,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07577400402284548}",25,12,22.346584440928677,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.07427357821433388}",25,11,7.919515754838673,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.07280286282743559}",30,0,0.39128796518166364,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.07136126955638605}",35,15,38.440474633267414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.06994822174465536}",20,11,5.844510336897841,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.06856315415427791}",20,3,19.616242122266137,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.06720551273974976}",30,0,8.650647623030125,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
